"job_id","job_title","company_name","job_location","job_schedule_type","salary_year_avg","job_posted_date","job_work_from_home"
226942,"Data Analyst","Mantys","Anywhere","Full-time","650000.0","2023-02-20",1
606801,"AI Architect","Bosch Group","Pune, Maharashtra, India","Full-time","267000.0","2023-11-21",""
65852,"Sr. Data Engineer","Visa","Bengaluru, Karnataka, India","Full-time","249000.0","2023-08-09",""
155009,"Principal Data Scientist","GSK","India","Full-time","204381.0","2023-11-07",""
1441031,"Computer Vision Research Engineer","Bosch Group","Bengaluru, Karnataka, India","Full-time","200000.0","2023-01-16",""
374128,"Machine Learning Engineer II","Expedia Group","Gurugram, Haryana, India","Full-time","190000.0","2023-11-02",""
754083,"Staff ML Engineer","Mindtickle","Pune, Maharashtra, India","Full-time","185500.0","2023-05-26",""
1093089,"Senior ML Engineer","Hinge Health","Bengaluru, Karnataka, India","Full-time","185500.0","2023-01-05",""
16827,"Tech lead : Sr. ML Engineer","Bosch Group","Bengaluru, Karnataka, India","Full-time","185500.0","2023-03-03",""
1127754,"Research Scientist - AI Ethics & Responsible AI Leader","Quantiphi","India","Full-time","183000.0","2023-11-03",""
696902,"Senior Data Operations Engineer, EF Data","Bristol Myers Squibb","India","Full-time","181765.0","2023-12-22",""
356750,"Senior Research Engineer  I ( Hydrology / Hydraulics)","Verisk","Hyderabad, Telangana, India","Full-time","177283.0","2023-06-20",""
1642893,"Staff Applied Research Engineer","ServiceNow","Hyderabad, Telangana, India","Full-time","177283.0","2023-06-28",""
119328,"Data Scientist","KONE","India","Full-time","170575.0","2023-11-01",""
562667,"Staff Engineer - Data Scientist","Micron Technology","India","Full-time","170575.0","2023-11-14",""
176045,"Data Scientist - Retail / Mobility","Shell","India","Full-time","170575.0","2023-10-30",""
534979,"Senior Data Scientist","Equifax","India","Full-time","170575.0","2023-11-01",""
234792,"AI Data Scientist","Shell","India","Full-time","170500.0","2023-11-22",""
1794403,"Data Scientist (all genders)","HRS","India","Full-time","170500.0","2023-12-09",""
1498606,"Senior Data Scientist, Causal Inference","Deliveroo","India","Full-time","170500.0","2023-12-01",""
541783,"Sr Data Scientist","Target","India","Full-time","170000.0","2023-12-22",""
417747,"Senior Data Scientist","Cargill","India","Full-time","170000.0","2023-12-20",""
520909,"Principal Data Engineer","Blueprint Technologies","Anywhere","Full-time","169500.0","2023-06-19",1
1417381,"Head of DataOps & Render Support","Framestore","Mumbai, Maharashtra, India","Full-time","166419.5","2023-06-01",""
69694,"Head of Data Science, Analytics and BI","Carousell Group","India","Full-time","166419.5","2023-07-25",""
1098299,"Senior Machine Learning Engineer","Uniphore","India","Full-time","166000.0","2023-08-10",""
990427,"Machine Learning Engineer - Data Pre-processing, Pipeline, Streaming","Zscaler","Bengaluru, Karnataka, India","Full-time","166000.0","2023-05-15",""
538495,"Machine Learning Engineer","InMobi","Bengaluru, Karnataka, India","Full-time","166000.0","2023-07-20",""
456582,"Machine Learning Engineer","ServiceNow","Hyderabad, Telangana, India","Full-time","166000.0","2023-01-10",""
1658474,"Machine Learning Engineer | Hybrid, Bangalore, India","Optiv","Bengaluru, Karnataka, India","Full-time","166000.0","2023-04-06",""
113377,"Staff Machine Learning Engineer ,AI as Services","Visa","Bengaluru, Karnataka, India","Full-time","166000.0","2023-02-04",""
416266,"Sr. Machine Learning Engineer","Visa","Bengaluru, Karnataka, India","Full-time","166000.0","2023-04-28",""
1063630,"Senior Machine Learning Engineer","Toast","Bengaluru, Karnataka, India","Full-time","166000.0","2023-07-19",""
871562,"Machine Learning Engineer","ServiceNow","Hyderabad, Telangana, India","Full-time","166000.0","2023-04-06",""
563436,"Machine Learning Engineer","Ethos","Bengaluru, Karnataka, India","Full-time","166000.0","2023-05-25",""
954793,"Data Architect 2023","Bosch Group","Bengaluru, Karnataka, India","Full-time","165000.0","2023-01-12",""
271081,"Data Architect ( Performance Engineering  Architect )","Eurofins","Bengaluru, Karnataka, India","Full-time","165000.0","2023-05-06",""
1412615,"#10294#1-Data Architect ( ETL , DevOps, data migration)","Qualitest","Noida, Uttar Pradesh, India","Full-time","165000.0","2023-07-11",""
1041666,"Data Architect - Data Migration","Bosch Group","Bengaluru, Karnataka, India","Full-time","165000.0","2023-05-06",""
283661,"Technical Data Architect - Healthcare","Srijan Technologies","Gurugram, Haryana, India","Full-time","165000.0","2023-05-10",""
406320,"Data Architect","Eagle Genomics Ltd","Hyderabad, Telangana, India","Full-time","163782.0","2023-02-07",""
781346,"Data Architect","Eagle Genomics Ltd","Hyderabad, Telangana, India","Full-time","163782.0","2023-07-06",""
1472866,"Data Scientist (all genders)","HRS","India","Full-time","162500.0","2023-12-20",""
860247,"Data Scientist","Gartner","India","Full-time","162500.0","2023-12-23",""
948893,"Sr. Cybersecurity Engineer (Hadoop Data engineering-Hadoop...","Visa","Bengaluru, Karnataka, India","Full-time","161160.0","2023-03-01",""
1511030,"Data Scientist","AppZen, Inc.","Pune, Maharashtra, India","Full-time","157500.0","2023-06-15",""
448709,"Data Scientist- EVG","Visa","Bengaluru, Karnataka, India","Full-time","157500.0","2023-04-28",""
1291078,"Data Scientist","HashiCorp","Noida, Uttar Pradesh, India","Full-time","157500.0","2023-07-07",""
1198466,"Senior Data Scientist","Everstream Analytics","India","Full-time","157500.0","2023-07-04",""
131071,"SR. DATA SCIENTIST","Optiv","Bengaluru, Karnataka, India","Full-time","157500.0","2023-01-03",""
1404867,"Data Scientist III","InMobi","Bengaluru, Karnataka, India","Full-time","157500.0","2023-03-06",""
1368549,"Senior Data Scientist","Publicis Groupe","Bengaluru, Karnataka, India","Full-time","157500.0","2023-06-27",""
1584041,"Senior Principal Data Scientist ( Marketing)","tiket.com","India","Full-time","157500.0","2023-03-20",""
154706,"Sr. Data Scientist","Visa","Bengaluru, Karnataka, India","Full-time","157500.0","2023-02-07",""
1514932,"Data Scientist","Ethos","Bengaluru, Karnataka, India","Full-time","157500.0","2023-03-13",""
347329,"Senior Data Scientist","Visa","Bengaluru, Karnataka, India","Full-time","157500.0","2023-06-05",""
294929,"Data Scientist","Syngenta Group","Hyderabad, Telangana, India","Full-time","157500.0","2023-01-26",""
1809702,"Data Scientist","Sutherland","Chennai, Tamil Nadu, India","Full-time","157500.0","2023-07-04",""
67520,"Senior Data Scientist","Tesco Bengaluru","Bengaluru, Karnataka, India","Full-time","157500.0","2023-03-14",""
456970,"Sr Data Scientist","Zscaler","Bengaluru, Karnataka, India","Full-time","157500.0","2023-01-12",""
445552,"Data Scientist","Nielsen","Bengaluru, Karnataka, India","Full-time","157500.0","2023-06-20",""
1518976,"Data Scientist BLR","Visa","Bengaluru, Karnataka, India","Full-time","157500.0","2023-01-10",""
312572,"Data Scientist","NielsenIQ","Pune, Maharashtra, India","Full-time","157500.0","2023-03-15",""
1432554,"IND (New) Data Scientist, Data Management","Quantium","Hyderabad, Telangana, India","Full-time","157500.0","2023-02-13",""
433111,"Sr. Data Scientist","Capco","Bengaluru, Karnataka, India","Full-time","157500.0","2023-07-13",""
1342276,"Sr. Data Scientist","Zeta","Bengaluru, Karnataka, India","Full-time","157500.0","2023-06-15",""
1614463,"Senior Staff Data Scientist","Freshworks","Bengaluru, Karnataka, India","Full-time","157500.0","2023-02-05",""
750392,"Senior Data Scientist","Ramboll","Chennai, Tamil Nadu, India","Full-time","157500.0","2023-07-11",""
872162,"Staff Data Scientist - NLP","Visa","Bengaluru, Karnataka, India","Full-time","157500.0","2023-06-07",""
515645,"Sr. Data Scientist","Visa","Bengaluru, Karnataka, India","Full-time","157500.0","2023-05-16",""
1042832,"Senior Data Scientist","Truecaller","Bengaluru, Karnataka, India","Full-time","157500.0","2023-02-09",""
1544807,"Data Scientist –ML, DL, Python","Capco","Bengaluru, Karnataka, India","Full-time","157500.0","2023-07-21",""
1568202,"Senior Data Scientist","Snowflake Inc.","Pune, Maharashtra, India","Full-time","157500.0","2023-06-19",""
1284486,"Data Scientist - Communcation Platform","GoTo Group","Bengaluru, Karnataka, India","Full-time","157500.0","2023-08-22",""
931894,"Data Science - Senior Data Scientist ( Credit Risk Modelling )","Paytm","Noida, Uttar Pradesh, India","Full-time","157500.0","2023-06-21",""
806925,"Data Scientist","DAZN","Hyderabad, Telangana, India","Full-time","157500.0","2023-06-19",""
885432,"Senior Data Scientist","Bosch Group","Bengaluru, Karnataka, India","Full-time","157500.0","2023-01-11",""
1068607,"Senior Data Scientist","Snowflake Inc.","Pune, Maharashtra, India","Full-time","157500.0","2023-02-13",""
545770,"Data Scientist (Analyst)","Visa","Bengaluru, Karnataka, India","Full-time","157500.0","2023-01-14",""
60327,"Data Scientist - GoTo Logistic","GoTo Group","Bengaluru, Karnataka, India","Full-time","157500.0","2023-08-16",""
1672800,"Senior Data Scientist","Zscaler","Bengaluru, Karnataka, India","Full-time","157500.0","2023-06-20",""
251076,"Data Scientist","Bosch Group","Bengaluru, Karnataka, India","Full-time","157500.0","2023-02-14",""
1240284,"Data Scientist/Specialist, Data Science - (R-13694)","Dun & Bradstreet","Hyderabad, Telangana, India","Full-time","157500.0","2023-02-07",""
1276405,"Sr. Data Scientist(Oil and Natural Gas domain)","Bosch Group","Bengaluru, Karnataka, India","Full-time","157500.0","2023-01-13",""
832946,"Data Scientist","Jumio","Jaipur, Rajasthan, India","Full-time","157500.0","2023-01-25",""
312987,"Data Scientist","Silent Eight","India","Full-time","157500.0","2023-07-19",""
1175205,"Senior Principal Data Engineer","GSK","India","Full-time","156500.0","2023-11-13",""
1202415,"Data Engineer - SQL (Power BI)","Gartner","India","Full-time","156500.0","2023-10-31",""
269694,"Specialist – Data Engineer","Philips","India","Full-time","156000.0","2023-11-08",""
